pulsar_i,pulsar_j,angle_deg,hd_gamma,corr,sigma,n_overlap
B1855+09,B1937+21,15.576456259117759,0.38529998399986465,-0.1480259219597427,0.09982572179671971,99
B1855+09,B1937+21ao,15.576456244717756,0.3852999841600152,-0.12118397333320208,0.11612042089713205,75
B1855+09,B1937+21gbt,15.576456272912953,0.38529998384644043,-0.09737227685160948,0.11144205371689989,82
B1855+09,B1953+29,23.680826465812853,0.28942910488192186,0.4024961225578755,0.11971383876083938,52
B1855+09,J0023+0923,80.05811345187983,-0.15112942469024848,0.32248139202568665,0.11665001305902863,62
B1855+09,J0030+0451,82.50859197611207,-0.15189723445383252,-0.19429536183842894,0.10257612135478346,91
B1855+09,J0340+4130,111.6739769625273,-0.06022100621128812,0.33749243926557176,0.12925080172311176,50
B1855+09,J0406+3039,122.4330597455183,0.00404575189710521,-0.31877931970323514,0.22459493633238564,19
B1855+09,J0437-4715,132.17991714496074,0.06611070776940009,-0.44657547567657735,0.25316257158823025,13
B1855+09,J0509+0856,147.22952166650808,0.15540914881308365,-0.4477000975413488,0.1998911556653667,19
B1855+09,J0557+1551,150.43099245376794,0.17185297834632302,-0.7773244424294221,0.22849601724864524,6
B1855+09,J0605+3757,130.76368911293625,0.05710541865488883,-0.42921010592017605,0.4709900433700475,6
B1855+09,J0610-2100,163.95998921875196,0.22595415322229973,-0.5009556230906392,0.22584510188552384,14
B1855+09,J0613-0200,166.6479481301125,0.23324354087947924,-0.022906983774836704,0.1124497533657911,82
B1855+09,J0614-3329,154.2114613813246,0.18964511157061453,-0.3077216619960924,0.4048657678782253,8
B1855+09,J0636+5128,118.61850876106409,-0.01963535557946705,0.3688213930858253,0.13492956687478172,44
B1855+09,J0645+5158,118.25696904600878,-0.02183951752202462,0.5182371949446596,0.09953504424487739,57
B1855+09,J0709+0458,165.0195497885202,0.22897660852766133,-0.10740208610323256,0.2157007014611243,24
